uav_id,packet_rate,avg_latency_ms,packet_loss_pct,command_success_rate,signal_strength_dbm,cpu_usage_pct,battery_level_pct,label,attack_type,isolation_forest_prediction,random_forest_prediction,anomaly_score,random_forest_attack_probability,pqc_algorithm,pqc_demo_verified,pqc_mean_encapsulation_ms,pqc_mean_decapsulation_ms
5,199.96109658391705,86.5584664632056,3.463173221776776,0.5720751047414416,-64.95475068961682,61.63967524516917,76.52918745117083,1,Malformed_Traffic,1,1,0.14841289838014937,1.0,ML-KEM-768,True,0.025310575000000002,0.025478294999999998
5,55.25,61.675817844332514,1.8248942621563127,0.9601722887969589,-49.513946341108095,31.80071956224771,64.49991113538583,0,Normal,0,0,-0.02083047080680911,0.0,ML-KEM-768,True,0.025310575000000002,0.025478294999999998
4,44.25,42.41301760797439,0.9026101721752421,0.9236898851468588,-57.30392765557794,40.706907385895676,43.472145006438154,0,Normal,0,0,-0.011462741636266038,0.0,ML-KEM-768,True,0.025310575000000002,0.025478294999999998
5,78.5,36.72478114811452,1.8886017020977848,0.9605640883092353,-58.459107116963644,28.4032245131175,48.35373947851467,0,Normal,0,0,-0.037527143632059556,0.005,ML-KEM-768,True,0.025310575000000002,0.025478294999999998
3,46.0,47.82367980431121,1.8596846351458822,0.9517437477669053,-61.36553413543687,45.94595292029499,92.32682740885085,0,Normal,0,0,-0.018840965045631708,0.0,ML-KEM-768,True,0.025310575000000002,0.025478294999999998
4,83.75,49.534047415350614,0.5412112742204532,0.9573286227757773,-55.984474322272725,53.06134483921352,78.47780931629404,0,Normal,0,0,-0.013186435815512432,0.0,ML-KEM-768,True,0.025310575000000002,0.025478294999999998
4,70.0,45.87786111350234,1.2008727222022801,0.9855838243987782,-51.61382781676242,37.46542189186198,73.77732469031349,0,Normal,0,0,-0.06700172922006647,0.0,ML-KEM-768,True,0.025310575000000002,0.025478294999999998
3,169.2646609340805,63.1178753789441,2.577222894836005,0.5603091667879458,-56.13794428033028,46.39344787319848,78.72088688182956,1,Spoofing,1,1,0.07058206864368421,0.935,ML-KEM-768,True,0.025310575000000002,0.025478294999999998
5,230.73262207260785,78.28030229733278,6.261408267271753,0.6727407151707777,-72.73065891194183,52.46651306055777,41.74643714852034,1,Malformed_Traffic,1,1,0.16580965447211538,1.0,ML-KEM-768,True,0.025310575000000002,0.025478294999999998
5,74.375,46.62490838357205,2.7077913925388257,0.9305354750777631,-51.42204549844319,35.36874980729205,52.79501511127262,0,Normal,0,0,-0.023622948250326015,0.005,ML-KEM-768,True,0.025310575000000002,0.025478294999999998
3,89.375,53.93514752161343,0.8387165187244988,0.9990732791529662,-60.91950668522843,46.727635824974,61.90543019989799,0,Normal,1,0,0.00025337537798042487,0.0,ML-KEM-768,True,0.025310575000000002,0.025478294999999998
1,108.0,37.421268960463,0.6338608481870677,0.9625806024919181,-63.6134333922447,26.242842664581634,72.96551460795925,0,Normal,1,0,0.01656607683900435,0.0,ML-KEM-768,True,0.025310575000000002,0.025478294999999998
2,103.75,59.544156863688926,2.1416399263102703,0.981007711575534,-52.62016870602824,38.21617479618984,57.01770371787444,0,Normal,0,0,-0.025548426715477968,0.0,ML-KEM-768,True,0.025310575000000002,0.025478294999999998
2,78.625,49.48826453976849,3.2608823455119573,0.986665365717841,-52.04451534099316,51.045078859795126,92.4723245792947,0,Normal,1,0,0.0205105059495706,0.04,ML-KEM-768,True,0.025310575000000002,0.025478294999999998
4,88.5,45.4412470113489,0.873805737310351,0.9870839371922262,-51.4774920482342,53.894770811952,46.31984888490507,0,Normal,0,0,-0.0021649865770397847,0.0,ML-KEM-768,True,0.025310575000000002,0.025478294999999998
5,127.375,42.68497642293847,1.955197102471792,0.9710301674130908,-56.70057569199844,28.493767914451375,85.64016955945067,0,Normal,0,0,-0.01415587581146277,0.02,ML-KEM-768,True,0.025310575000000002,0.025478294999999998
1,191.89727596301938,89.3399479091772,8.866909266529962,0.6680639473995819,-70.0501454023821,71.17733336298184,46.428533967639424,1,Malformed_Traffic,1,1,0.16284213125984048,1.0,ML-KEM-768,True,0.025310575000000002,0.025478294999999998
3,141.3411726888819,60.25632113872582,5.44201191049262,0.833828923954272,-59.753359171025785,87.2244698522098,62.221002722508786,1,Unauthorized_Access,1,1,0.11073922151094562,1.0,ML-KEM-768,True,0.025310575000000002,0.025478294999999998
4,72.7681795350902,129.69110581928345,24.088167948663603,0.7464837424672942,-89.86384774650706,88.52550122211956,55.58064103781635,1,Jamming,1,1,0.14360867603735772,1.0,ML-KEM-768,True,0.025310575000000002,0.025478294999999998
