timestamp,run_id,source_record_id,event_source,evaluation_scope,uav_name,uav_id,simulation_time,event_type,severity,isolation_forest_prediction,random_forest_prediction,anomaly_score,random_forest_attack_probability,packet_size,avg_latency_ms,packet_loss_pct,throughput,ground_truth_label
2026-09-06T16:37:10.192192+00:00,run_20260906T163709618752Z,288,UAV_Controlled_OMNeT_AI_SOC,Controlled OMNeT++ simulation results,uav3,3,59.614,Possible Communication Degradation / Jamming-like Behaviour,High,1,1,0.06386760541974978,1.0,457.0,141.967,28.6656,3.21905,1
2026-09-06T16:37:10.192436+00:00,run_20260906T163709618752Z,444,UAV_Controlled_OMNeT_AI_SOC,Controlled OMNeT++ simulation results,uav3,3,89.851,Possible Communication Degradation / Jamming-like Behaviour,High,1,1,0.06703341559616238,1.0,394.0,172.119,20.0729,2.28912,1
2026-09-06T16:37:10.192578+00:00,run_20260906T163709618752Z,492,UAV_Controlled_OMNeT_AI_SOC,Controlled OMNeT++ simulation results,uav5,5,99.7937,UAV Network Anomaly,Medium,1,0,0.012244575096624022,0.0,256.0,50.1632,2.2071,5.10334,0
2026-09-06T16:37:10.192795+00:00,run_20260906T163709618752Z,266,UAV_Controlled_OMNeT_AI_SOC,Controlled OMNeT++ simulation results,uav1,1,55.7331,UAV Network Anomaly,Medium,1,0,0.004365968884544991,0.0,906.0,67.3324,4.5795,13.4556,0
2026-09-06T16:37:10.192876+00:00,run_20260906T163709618752Z,476,UAV_Controlled_OMNeT_AI_SOC,Controlled OMNeT++ simulation results,uav2,2,96.03,UAV Network Anomaly,Medium,1,0,0.012872502871593583,0.0,399.0,21.0123,3.50278,18.9889,0
2026-09-06T16:37:10.193453+00:00,run_20260906T163709618752Z,440,UAV_Controlled_OMNeT_AI_SOC,Controlled OMNeT++ simulation results,uav4,4,89.3046,UAV Network Anomaly,Medium,1,0,0.03387251040441175,0.0,920.0,21.5914,3.87768,42.6097,0
2026-09-06T16:37:10.193656+00:00,run_20260906T163709618752Z,244,UAV_Controlled_OMNeT_AI_SOC,Controlled OMNeT++ simulation results,uav3,3,50.767,Possible Communication Degradation / Jamming-like Behaviour,High,1,1,0.06640900332479183,1.0,724.0,176.926,24.1034,4.09212,1
2026-09-06T16:37:10.193803+00:00,run_20260906T163709618752Z,382,UAV_Controlled_OMNeT_AI_SOC,Controlled OMNeT++ simulation results,uav3,3,78.3795,Possible Communication Degradation / Jamming-like Behaviour,High,1,1,0.05597366670022208,1.0,707.0,144.375,23.5567,4.89697,1
2026-09-06T16:37:10.194007+00:00,run_20260906T163709618752Z,470,UAV_Controlled_OMNeT_AI_SOC,Controlled OMNeT++ simulation results,uav3,3,95.5503,Possible Communication Degradation / Jamming-like Behaviour,High,1,1,0.06363808408212368,1.0,601.0,175.909,22.7773,3.41654,1
2026-09-06T16:37:10.194100+00:00,run_20260906T163709618752Z,462,UAV_Controlled_OMNeT_AI_SOC,Controlled OMNeT++ simulation results,uav3,3,93.8651,Possible Communication Degradation / Jamming-like Behaviour,High,1,1,0.052604677730455185,0.99,925.0,101.945,23.5102,9.07352,1
2026-09-06T16:37:10.194450+00:00,run_20260906T163709618752Z,312,UAV_Controlled_OMNeT_AI_SOC,Controlled OMNeT++ simulation results,uav3,3,64.6193,Possible Communication Degradation / Jamming-like Behaviour,High,1,1,0.05551248149752053,0.99,946.0,112.789,25.7235,8.38732,1
2026-09-06T16:37:10.194583+00:00,run_20260906T163709618752Z,332,UAV_Controlled_OMNeT_AI_SOC,Controlled OMNeT++ simulation results,uav3,3,68.7281,Possible Communication Degradation / Jamming-like Behaviour,High,1,1,0.055589701452717355,1.0,583.0,140.274,26.8197,4.15615,1
2026-09-06T16:37:10.194716+00:00,run_20260906T163709618752Z,242,UAV_Controlled_OMNeT_AI_SOC,Controlled OMNeT++ simulation results,uav4,4,50.55,UAV Network Anomaly,Medium,1,0,0.04661987296191483,0.0,995.0,78.6497,4.04394,12.651,0
