source_record_id,simulation_time,uav_name,uav_id,packet_size,avg_latency_ms,packet_loss_pct,throughput,label,attack_type
0,2.09763,uav1,1,1019,52.693,4.31263,19.3384,0,Normal
2,2.18569,uav2,2,979,58.7536,2.22972,16.6628,0,Normal
4,2.20553,uav5,5,855,73.5064,0.755208,11.6316,0,Normal
6,2.43038,uav3,3,652,43.0065,2.64949,15.1605,0,Normal
8,2.68853,uav4,4,807,51.7337,2.6599,15.5991,0,Normal
10,3.94494,uav1,1,933,70.1647,0.819662,13.2973,0,Normal
12,4.06086,uav2,2,371,42.0945,4.24679,8.8135,0,Normal
14,4.82462,uav4,4,687,72.2052,4.90378,9.51455,0,Normal
16,5.01383,uav3,3,433,47.6888,2.84215,9.07971,0,Normal
18,5.13285,uav5,5,403,27.0965,3.74285,14.8728,0,Normal
20,5.61973,uav1,1,521,52.2424,4.75101,9.97274,0,Normal
22,6.77184,uav4,4,799,26.3545,2.36598,30.3175,0,Normal
24,6.97517,uav2,2,931,31.1799,3.98405,29.8589,0,Normal
26,7.41269,uav5,5,439,32.993,3.05795,13.3058,0,Normal
28,7.57489,uav3,3,384,39.4485,3.27936,9.73422,0,Normal
30,8.13696,uav1,1,806,33.3393,3.2762,24.1757,0,Normal
32,8.68313,uav5,5,591,74.1559,3.56819,7.9697,0,Normal
34,8.71904,uav4,4,698,56.7838,2.46664,12.2922,0,Normal
36,8.87424,uav3,3,577,25.9568,0.771015,22.2292,0,Normal
38,9.44901,uav2,2,547,59.1884,3.51787,9.24168,0,Normal
40,9.90994,uav1,1,686,41.4891,1.08017,16.5345,0,Normal
42,10.583,uav5,5,654,56.4698,2.1367,11.5814,0,Normal
44,10.7908,uav2,2,889,22.3055,2.47371,39.8556,0,Normal
46,11.5237,uav4,4,580,77.537,0.959202,7.4803,0,Normal
48,11.8139,uav3,3,895,58.1035,1.22589,15.4035,0,Normal
50,12.2331,uav5,5,436,35.1975,2.36466,12.3872,0,Normal
52,12.4113,uav1,1,916,34.6655,3.3058,26.4239,0,Normal
54,13.0594,uav2,2,975,26.6225,3.53639,36.6231,0,Normal
56,13.7292,uav1,1,816,28.291,4.00255,28.8431,0,Normal
58,13.8293,uav4,4,931,42.1235,3.48137,22.1017,0,Normal
60,14.1657,uav5,5,862,25.8261,3.30281,33.3771,0,Normal
62,14.8045,uav3,3,548,25.7659,4.87375,21.2684,0,Normal
64,15.1224,uav1,1,643,48.1191,2.79331,13.3627,0,Normal
66,15.372,uav2,2,624,56.2907,2.53022,11.0853,0,Normal
68,16.4713,uav4,4,639,22.3513,2.4877,28.589,0,Normal
70,16.8416,uav5,5,811,27.2118,2.1175,29.8033,0,Normal
72,17.7574,uav3,3,955,27.1237,3.59898,35.2091,0,Normal
74,17.8506,uav2,2,830,44.8558,4.63206,18.5037,0,Normal
76,18.0369,uav4,4,850,53.9113,3.04971,15.7666,0,Normal
78,18.0759,uav1,1,465,50.5381,2.85462,9.20097,0,Normal
80,18.4339,uav5,5,297,75.2695,3.09176,3.94582,0,Normal
82,18.9789,uav2,2,342,39.1141,0.542105,8.74364,0,Normal
84,19.3933,uav3,3,563,58.8304,3.72347,9.56987,0,Normal
